label,SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%)
ANDESITE,58.9,0.29,18.7,7.56,4.3,3.4,0.09,3.1,2.8,0.2
RHYOLITE,69.68,0.52,14.76,3.63,1.68,1.83,0.04,3.66,3.77,0.03
BASALT,49.84,0.53,8.25,11.17,9.27,19.15,0.19,0.03,0.31,0.02
BASALT,48.14,0.7,7.86,12.49,9.47,19.44,0.18,0.06,0.22,0.04
BASALT,48.59,0.7,9.43,12.17,8.7,17.93,0.19,0.05,0.82,0.06
BASALT,48.81,0.38,7.66,11.03,8.36,22.21,0.18,0.01,0.12,0.03
BASALT,48.94,0.41,7.88,10.99,9.53,20.56,0.19,0.03,0.24,0.01
BASALT,52.9,0.44,12.44,9.68,6.8,13.91,0.16,0.04,2.54,0.01
BASALT,53.9,0.8,15.59,10.19,7.89,5.02,0.21,0.24,4.97,0.04
BASALT,48.89,0.6,8.96,12.54,7.78,19.39,0.16,0.03,0.22,0.04
RHYOLITE,77.79,0.23,12.88,0.93,0.72,0.4,0.01,2.43,4.49,0.01
RHYOLITE,77.71,0.17,12.63,1.27,0.36,0.47,0.02,1.0,6.23,0.0
RHYOLITE,77.26,0.27,13.39,0.87,1.29,0.03,0.03,2.21,4.5,0.04
RHYOLITE,70.52,0.83,17.3,1.52,1.15,0.9,0.02,3.09,4.47,0.03
RHYOLITE,79.7,0.25,12.91,0.67,0.66,0.67,0.01,3.36,1.68,0.02
RHYOLITE,78.65,0.2,12.87,0.33,0.65,0.08,0.01,1.91,5.24,0.01
RHYOLITE,70.86,0.49,14.57,2.77,3.31,1.23,0.06,1.48,4.8,0.12
RHYOLITE,77.73,0.27,13.04,0.8,1.22,0.35,0.01,1.93,4.56,0.01
RHYOLITE,78.91,0.07,13.12,0.87,0.5,0.1,0.02,2.52,3.76,0.02
BASALT,55.88,0.95,12.9,11.1,8.5,7.15,0.2,0.04,1.98,0.07
BASALT,54.35,0.94,16.69,8.6,8.86,4.07,0.3,0.81,4.35,0.05
BASALT,51.71,1.02,13.99,12.92,10.23,6.82,0.22,0.07,1.52,0.07
BASALT,56.7,1.39,17.28,8.96,4.98,4.75,0.25,0.03,4.56,0.1
BASALT,54.85,1.0,17.09,9.16,7.13,4.39,0.27,0.74,4.3,0.05
BASALT,52.31,1.03,15.36,11.49,8.75,5.36,0.21,0.27,3.9,0.05
ANDESITE,61.61,1.43,13.38,7.66,7.22,2.57,0.15,0.06,4.94,0.13
RHYOLITE,81.6,0.09,10.06,4.69,0.05,0.24,0.19,2.31,0.25,0.01
RHYOLITE,80.47,0.13,10.09,1.64,0.9,0.19,0.07,4.76,1.54,0.01
RHYOLITE,75.72,0.17,13.95,1.51,0.81,0.48,0.03,4.2,2.94,0.01
RHYOLITE,77.23,0.15,12.46,1.26,1.13,0.19,0.02,2.51,4.88,0.01
RHYOLITE,77.64,0.15,12.46,2.51,1.83,0.95,0.04,3.88,0.25,0.01
RHYOLITE,77.73,0.15,12.94,1.68,0.85,0.39,0.04,2.8,3.21,0.01
RHYOLITE,78.55,0.24,11.74,2.95,1.17,0.39,0.08,1.9,2.63,0.02
RHYOLITE,79.34,0.29,12.72,2.23,0.66,0.51,0.04,3.34,0.57,0.05
RHYOLITE,80.77,0.11,11.15,1.67,1.35,0.74,0.11,3.62,0.26,0.01
BASALT,52.5,0.91,16.8,9.27,13.18,3.24,0.35,0.49,2.16,0.06
BASALT,54.33,0.93,17.06,9.43,10.64,3.56,0.26,0.53,2.16,0.04
BASALT,53.6,0.89,16.36,10.28,9.7,6.09,0.18,0.01,1.67,0.05
BASALT,52.71,1.09,17.39,9.58,9.72,4.04,0.23,0.21,3.88,0.08
BASALT,53.49,1.44,14.48,10.84,10.54,2.87,0.35,0.43,4.24,0.11
BASALT,55.4,1.06,17.01,9.2,9.74,3.83,0.24,0.02,2.4,0.06
BASALT,46.94,1.21,16.63,14.15,11.43,5.77,0.23,0.28,1.7,0.08
BASALT,50.55,1.25,15.92,13.48,7.74,7.72,0.19,0.07,1.49,0.09
BASALT,50.38,1.37,14.68,11.94,10.81,5.64,0.29,0.19,3.28,0.09
BASALT,47.75,0.98,16.73,12.2,10.81,7.48,0.21,0.11,2.31,0.06
BASALT,56.9,0.85,15.85,7.59,9.05,4.44,0.16,0.19,4.04,0.06
BASALT,52.43,0.96,17.37,9.52,9.07,4.98,0.19,0.29,4.07,0.05
BASALT,47.61,0.95,16.52,12.47,11.59,7.28,0.19,0.1,1.82,0.07
BASALT,50.42,0.95,16.77,9.19,10.94,7.24,0.15,0.15,3.09,0.06
BASALT,49.26,0.87,15.46,11.43,11.88,7.14,0.18,0.1,2.35,0.06
RHYOLITE,81.3,0.07,11.41,0.3,0.15,0.04,0.01,3.23,3.45,0.0
RHYOLITE,77.29,0.05,13.0,1.06,0.49,0.21,0.03,4.39,3.35,0.01
RHYOLITE,84.66,0.41,13.31,0.14,0.44,0.03,0.0,0.28,0.42,0.29
RHYOLITE,79.43,0.12,11.91,1.08,1.27,0.13,0.04,2.32,3.56,0.01
RHYOLITE,81.31,0.04,11.39,0.45,0.55,0.02,0.02,0.69,5.47,0.01
RHYOLITE,73.35,0.53,15.59,1.02,2.73,0.24,0.02,1.78,4.48,0.14
ANDESITE,61.84,0.68,18.65,6.15,4.11,1.53,0.09,1.65,4.31,0.29
RHYOLITE,71.21,0.4,14.47,3.13,2.19,1.19,0.03,2.43,4.51,0.08
RHYOLITE,74.44,0.3,13.66,2.43,3.05,0.93,0.05,1.5,3.33,0.04
RHYOLITE,68.42,0.67,13.98,4.33,5.38,1.12,0.12,1.93,3.39,0.18
RHYOLITE,78.83,0.35,13.14,1.22,1.86,0.23,0.04,1.79,2.33,0.06
RHYOLITE,66.46,0.73,15.02,5.27,4.52,1.72,0.1,1.36,4.04,0.2
RHYOLITE,69.42,0.64,13.78,4.73,4.58,1.1,0.08,1.67,3.28,0.19
RHYOLITE,67.94,0.76,14.21,5.21,4.66,1.47,0.1,1.51,3.37,0.19
RHYOLITE,76.91,0.29,13.16,2.23,1.49,0.6,0.04,2.33,2.66,0.04
RHYOLITE,77.75,0.26,12.02,2.95,1.6,0.75,0.05,2.05,2.19,0.04
BASALT,50.6,1.03,15.83,11.43,9.45,6.16,0.17,0.06,2.8,0.05
BASALT,48.13,0.88,17.67,11.93,9.78,5.26,0.23,0.32,2.78,0.0
BASALT,51.68,1.28,15.06,12.78,10.51,3.96,0.31,0.2,2.14,0.08
BASALT,52.09,2.25,13.99,12.76,8.33,3.07,0.29,0.15,3.55,0.2
BASALT,49.11,1.95,15.85,12.89,11.56,2.45,0.35,0.23,1.79,0.2
BASALT,44.75,1.88,15.76,13.24,13.46,2.18,0.3,0.19,2.73,0.18
BASALT,49.84,0.72,14.45,9.78,11.8,6.5,0.18,0.21,1.7,0.0
BASALT,44.88,0.71,16.13,10.55,11.16,8.75,0.18,0.09,1.18,0.09
BASALT,53.44,1.17,16.87,8.53,8.79,4.72,0.2,0.09,3.72,0.16
BASALT,54.86,1.17,15.46,9.39,6.96,3.71,0.32,0.0,4.39,0.17
BASALT,46.95,1.29,14.47,13.43,13.24,5.07,0.23,0.36,1.34,0.06
BASALT,48.84,1.33,14.79,13.53,10.44,5.86,0.23,0.5,1.63,0.06
DACITE,64.13,0.37,15.28,3.1,2.55,3.62,0.04,2.46,4.52,0.16
DACITE,64.91,0.47,14.39,4.79,2.96,1.36,0.1,1.34,3.59,0.06
ANDESITE,59.34,0.99,14.8,7.36,5.95,4.32,0.19,0.13,4.29,0.19
DACITE,67.76,0.68,13.89,4.58,5.07,1.27,0.12,1.36,2.24,0.04
RHYOLITE,73.85,0.3,10.95,3.4,3.53,0.68,0.15,0.9,2.81,0.0
GABBRO,48.5,0.79,14.0,12.69,10.12,7.67,0.21,0.65,2.2,0.08
GABBRO,49.3,1.26,14.1,15.57,7.8,5.79,0.21,0.76,3.3,0.12
BASALT,49.29,2.21,12.96,16.83,7.95,5.17,0.2,0.02,3.36,0.14
ANDESITE,55.82,0.46,16.58,4.86,18.99,1.86,0.09,0.54,0.15,0.1
BASALT,53.3,0.73,18.6,7.72,7.05,5.24,0.14,0.41,3.35,0.1
BASALT,51.45,1.35,14.66,12.64,11.12,4.91,0.21,0.18,1.91,0.15
BASALT,50.45,1.35,15.63,12.33,11.47,4.87,0.18,0.18,2.0,0.15
BASALT,59.56,1.13,15.5,6.41,8.96,4.13,0.11,0.29,2.99,0.2
BASALT,43.42,1.25,19.41,12.77,11.27,8.22,0.18,0.44,1.42,0.19
BASALT,52.08,1.79,13.47,14.48,8.53,4.39,0.23,0.25,3.0,0.17
BASALT,49.9,1.68,15.1,12.61,9.03,5.75,0.21,0.33,3.02,0.28
BASALT,49.88,1.57,15.34,12.02,7.83,7.67,0.18,0.16,3.8,0.23
DACITE,66.9,0.39,15.9,3.46,2.17,0.96,0.08,1.79,4.1,0.12
DACITE,66.0,0.43,15.87,2.94,3.77,1.88,0.06,3.5,4.99,0.22
DACITE,66.23,0.54,15.95,5.74,2.66,2.54,0.11,1.64,3.87,0.09
DACITE,66.69,0.41,15.73,3.46,3.58,2.18,0.06,3.16,4.2,0.13
KOMATIITE,43.95,0.19,3.34,12.15,1.27,37.55,0.14,0.0,0.08,0.0
KOMATIITE,50.82,0.25,4.64,12.12,2.91,26.82,0.23,0.76,0.09,0.02
KOMATIITE,45.71,0.32,7.91,13.07,3.16,28.13,0.15,0.0,0.12,0.0
BASALT,49.84,0.32,9.29,11.67,9.87,16.61,0.21,0.09,0.78,0.02
BASALT,51.32,0.68,9.21,12.53,7.92,16.04,0.22,0.33,0.29,0.06
BASALT,46.86,0.31,9.22,12.53,10.12,15.87,0.23,1.91,1.52,0.02
BASALT,53.59,0.32,9.38,11.84,8.99,12.62,0.17,0.05,1.69,0.02
KOMATIITE,52.79,0.17,5.05,9.42,7.87,23.38,0.16,0.0,0.11,0.02
KOMATIITE,51.85,0.21,5.55,10.23,5.47,25.33,0.13,0.0,0.12,0.0
KOMATIITE,50.16,0.28,7.78,11.71,7.2,21.09,0.21,0.02,0.23,0.02
BASALT,52.98,0.22,6.91,9.63,12.05,16.31,0.21,0.25,0.35,0.02
BASALT,52.08,0.32,8.76,10.62,10.35,14.81,0.22,0.94,0.67,0.03
BASALT,52.39,0.31,9.89,10.0,10.55,13.34,0.2,0.05,2.17,0.0
BASALT,53.44,0.28,9.14,10.89,10.57,12.41,0.24,0.17,1.62,0.02
BASALT,52.76,0.28,9.12,12.31,7.98,13.58,0.19,0.05,2.36,0.0
BASALT,52.86,0.31,9.6,11.91,8.42,12.72,0.17,0.13,2.56,0.0
THOLEIITE,48.87,0.7,14.99,11.64,11.4,8.03,0.2,0.16,2.66,0.05
THOLEIITE,49.56,1.05,15.22,12.21,9.22,7.65,0.21,0.02,3.42,0.07
THOLEIITE,48.65,1.16,14.71,14.43,10.9,6.37,0.23,0.14,1.72,0.08
THOLEIITE,49.59,1.37,13.31,15.62,10.26,6.33,0.24,0.04,1.39,0.1
THOLEIITE,51.11,1.78,12.42,15.12,8.27,5.6,0.23,0.15,3.49,0.14
BASALT,50.31,0.63,16.02,10.81,7.81,9.0,0.21,0.25,3.72,0.04
BASALT,50.72,0.78,16.05,11.18,8.33,7.53,0.21,0.37,3.53,0.06
BASALT,49.84,1.03,14.86,12.35,9.42,7.75,0.2,0.43,2.65,0.09
BASALT,49.55,0.85,15.32,12.21,10.22,7.34,0.19,1.27,1.63,0.06
BASALT,49.34,0.9,16.0,12.27,8.65,7.33,0.21,0.26,3.6,0.07
BASALT,48.94,1.03,15.01,12.77,10.28,7.38,0.22,0.14,2.72,0.09
BASALT,54.34,1.97,14.07,11.83,6.15,6.6,0.22,0.09,3.21,0.2
BASALT,50.11,1.7,14.65,14.2,9.05,6.12,0.25,0.98,1.2,0.16
BASALT,52.64,1.69,14.33,14.91,4.65,5.58,0.26,3.38,0.74,0.15
BASALT,50.82,0.35,10.49,11.38,11.21,13.06,0.25,0.31,0.81,0.04
BASALT,62.87,0.48,13.65,6.02,4.18,6.69,0.08,1.95,3.23,0.17
BASALT,56.27,0.4,12.71,9.96,9.11,8.08,0.18,0.29,1.81,0.07
THOLEIITE,49.65,0.66,14.88,12.5,10.16,7.91,0.23,0.14,2.42,0.04
THOLEIITE,52.5,0.75,16.53,10.14,11.81,3.83,0.25,0.16,2.86,0.04
RHYOLITE,65.37,0.57,17.55,6.12,2.62,1.65,0.17,3.98,1.17,0.11
RHYOLITE,70.92,0.52,15.64,2.61,3.71,1.02,0.09,1.99,3.04,0.16
RHYOLITE,71.44,0.45,14.7,3.27,3.67,0.64,0.09,1.99,3.24,0.15
RHYOLITE,71.9,0.52,16.07,2.05,2.66,0.76,0.04,2.75,2.87,0.14
RHYOLITE,72.24,0.47,15.45,1.79,3.09,0.58,0.05,2.84,3.12,0.15
RHYOLITE,73.88,0.4,12.36,4.15,3.91,0.83,0.1,2.53,1.25,0.12
RHYOLITE,74.03,0.39,10.75,4.07,4.66,2.39,0.17,0.8,2.23,0.06
RHYOLITE,74.19,0.52,10.04,6.35,2.63,2.6,0.11,0.95,1.83,0.06
RHYOLITE,76.37,0.2,14.33,2.47,0.95,1.1,0.03,4.08,0.15,0.05
RHYOLITE,56.0,1.52,12.52,15.58,6.29,1.84,0.24,0.89,2.88,0.51
RHYOLITE,69.33,0.84,11.66,7.42,3.75,0.95,0.16,0.44,4.38,0.24
RHYOLITE,72.04,0.27,14.53,2.49,2.18,1.57,0.05,3.71,2.8,0.07
RHYOLITE,72.61,0.3,15.31,2.22,1.8,1.26,0.0,2.45,3.72,0.08
RHYOLITE,73.09,0.31,14.87,1.95,1.67,1.65,0.04,3.51,2.6,0.08
RHYOLITE,73.82,0.21,13.75,2.05,3.11,2.49,0.04,2.57,1.67,0.06
RHYOLITE,76.62,0.2,14.99,1.39,0.34,1.25,0.0,4.8,0.2,0.06
KOMATIITE,48.83,0.39,8.3,11.19,8.92,19.8,0.21,0.07,1.01,0.03
KOMATIITE,47.78,0.49,8.92,11.63,7.42,22.05,0.19,0.0,0.2,0.04
KOMATIITE,50.2,0.37,7.39,11.27,9.5,18.53,0.23,0.06,1.17,0.03
KOMATIITE,50.13,0.31,6.38,10.1,7.33,23.95,0.18,0.26,0.19,0.02
BASALT,51.3,0.78,12.9,11.15,9.41,10.44,0.17,0.45,2.08,0.06
BASALT,50.84,0.76,12.74,12.02,7.64,10.98,0.19,0.12,3.31,0.06
BASALT,52.02,0.74,12.59,10.96,8.83,10.31,0.17,0.29,2.82,0.06
KOMATIITE,46.81,1.45,6.76,16.96,2.61,22.62,0.24,0.18,0.39,0.1
KOMATIITE,48.47,1.38,5.53,16.75,1.78,23.5,0.16,0.26,0.19,0.11
THOLEIITE,49.4,0.88,14.59,13.52,12.65,6.68,0.25,0.02,0.43,0.06
THOLEIITE,49.31,1.02,16.06,13.43,7.55,8.77,0.2,1.07,1.03,0.08
THOLEIITE,50.91,0.8,15.2,11.91,11.61,7.97,0.23,0.0,0.0,0.07
THOLEIITE,50.79,0.96,14.86,12.64,10.89,5.68,0.23,0.08,2.38,0.07
THOLEIITE,49.79,1.04,15.43,11.85,12.55,5.5,0.26,0.1,2.08,0.08
THOLEIITE,52.69,1.18,14.57,11.0,9.52,6.27,0.2,0.05,3.2,0.09
THOLEIITE,53.55,0.9,16.61,8.95,9.76,4.82,0.17,0.06,4.11,0.06
THOLEIITE,48.79,1.17,15.29,12.25,13.19,6.06,0.23,0.0,1.57,0.09
THOLEIITE,51.3,0.86,15.2,12.3,11.12,5.51,0.25,0.18,1.86,0.06
THOLEIITE,53.09,1.69,14.62,12.21,9.33,5.91,0.18,0.0,1.37,0.25
THOLEIITE,53.47,1.73,14.87,11.86,8.87,6.02,0.18,0.0,1.42,0.26
ANDESITE,60.24,0.5,15.55,6.14,5.3,5.11,0.09,1.14,5.11,0.13
ANDESITE,60.36,0.63,16.95,6.83,4.83,5.87,0.16,0.98,2.51,0.12
ANDESITE,59.66,0.83,15.87,8.71,3.11,6.79,0.21,0.47,3.14,0.24
RHYOLITE,72.28,0.23,14.86,2.58,2.68,1.35,0.03,0.89,4.75,0.06
RHYOLITE,76.86,0.18,12.91,1.44,1.92,1.33,0.02,0.64,4.49,0.05
RHYOLITE,64.32,0.77,17.81,3.82,2.39,2.27,0.04,0.63,7.25,0.27
RHYOLITE,84.63,0.35,10.3,0.55,0.15,0.38,0.0,3.46,0.05,0.08
KOMATIITE,49.67,0.41,8.68,11.62,7.31,20.3,0.29,0.05,0.33,0.04
KOMATIITE,47.54,0.33,7.32,12.75,3.4,26.93,0.21,0.0,0.08,0.03
KOMATIITE,52.24,0.27,5.65,10.2,6.87,23.1,0.23,0.03,0.25,0.02
KOMATIITE,47.38,0.28,6.24,13.06,7.03,23.99,0.29,0.04,0.22,0.02
KOMATIITE,47.6,0.37,5.63,12.49,9.43,22.12,0.21,0.04,0.7,0.02
THOLEIITE,50.25,0.42,16.33,8.77,11.62,9.06,0.16,0.22,2.17,0.03
THOLEIITE,50.71,0.6,7.15,13.91,10.41,14.02,0.24,0.05,1.32,0.04
THOLEIITE,51.87,0.73,13.23,12.36,7.63,8.02,0.2,0.61,3.93,0.05
THOLEIITE,48.94,0.4,14.53,10.01,11.54,11.23,0.18,0.23,1.81,0.03
THOLEIITE,49.28,0.74,15.39,10.78,12.09,8.45,0.18,0.45,1.38,0.05
THOLEIITE,52.12,0.81,15.11,13.6,8.16,4.09,0.47,2.98,1.11,0.05
THOLEIITE,48.43,1.31,14.43,14.28,10.92,6.22,0.21,0.33,2.18,0.1
ANDESITE,54.37,0.46,10.25,10.9,7.41,13.13,0.19,0.45,1.58,0.05
ANDESITE,55.93,0.67,14.14,9.01,9.54,6.55,0.17,0.58,2.35,0.07
ANDESITE,60.32,0.63,11.98,8.49,6.56,6.59,0.22,1.34,2.85,0.08
ANDESITE,55.33,0.66,14.01,9.3,8.99,7.46,0.16,0.66,2.32,0.07
BASALT,50.28,1.04,14.88,13.3,10.47,6.56,0.25,0.79,0.89,0.07
BASALT,49.23,0.82,16.31,11.9,8.55,7.91,0.18,0.21,3.49,0.06
BASALT,50.8,1.01,14.35,13.1,7.75,8.11,0.17,0.21,2.94,0.09
BASALT,49.54,0.92,15.32,12.5,8.93,7.61,0.2,0.17,3.33,0.07
BASALT,47.58,0.98,15.18,12.73,10.36,8.51,0.17,0.64,2.38,0.06
RHYOLITE,65.59,0.46,15.04,3.64,4.36,1.3,0.09,2.03,2.93,0.15
RHYOLITE,69.89,0.44,14.98,3.7,4.17,1.25,0.09,1.79,3.14,0.14
RHYOLITE,70.18,0.48,15.14,3.28,4.05,0.65,0.08,3.27,2.34,0.15
RHYOLITE,75.12,0.39,12.88,3.57,2.48,0.58,0.06,2.74,1.66,0.12
RHYOLITE,70.46,0.47,15.27,3.06,2.97,0.77,0.09,2.23,4.16,0.15
RHYOLITE,75.74,0.45,13.77,1.78,3.58,0.77,0.07,1.88,1.63,0.12
THOLEIITE,47.51,0.74,16.01,10.46,13.66,8.48,0.18,0.19,1.55,0.04
THOLEIITE,48.41,1.67,14.25,15.43,9.0,6.52,0.21,0.18,2.47,0.13
THOLEIITE,48.67,0.62,15.62,10.35,12.37,9.36,0.16,0.11,1.57,0.02
THOLEIITE,48.97,1.11,16.02,12.64,9.38,7.45,0.18,0.11,2.65,0.07
THOLEIITE,49.25,0.78,14.86,11.51,12.11,8.44,0.17,0.06,1.52,0.03
THOLEIITE,49.94,0.64,15.06,10.73,13.55,6.8,0.21,0.27,1.57,0.02
THOLEIITE,50.01,0.83,15.54,11.48,12.96,5.75,0.23,0.16,1.73,0.03
THOLEIITE,52.84,1.08,15.38,11.67,10.35,5.02,0.17,0.21,1.87,0.12
RHYOLITE,73.57,0.43,16.16,0.79,2.41,0.99,0.01,1.45,3.95,0.14
RHYOLITE,62.12,1.71,16.57,2.5,5.56,0.1,2.94,2.5,4.97,0.74
RHYOLITE,72.54,0.48,16.4,2.11,1.88,0.69,0.11,2.58,2.82,0.13
RHYOLITE,74.79,0.46,16.75,0.17,2.1,0.34,0.02,2.46,2.84,0.04
RHYOLITE,75.77,0.12,14.35,0.87,0.83,0.5,0.02,2.3,5.11,0.03
THOLEIITE,46.56,1.14,16.43,13.42,10.96,7.25,0.18,0.25,2.26,0.05
THOLEIITE,48.27,0.95,15.07,11.91,11.92,8.44,0.19,0.24,1.62,0.05
THOLEIITE,48.41,0.69,14.06,11.73,13.45,6.85,0.25,0.69,2.5,0.05
THOLEIITE,48.85,0.84,15.0,12.0,12.26,6.98,0.29,0.17,2.21,0.05
THOLEIITE,52.06,1.06,15.65,10.61,10.43,5.91,0.25,0.23,2.55,0.07
THOLEIITE,49.88,0.73,15.16,11.06,12.6,8.04,0.18,0.18,0.89,0.05
THOLEIITE,50.12,0.72,15.07,11.16,12.61,7.28,0.19,0.17,1.35,0.09
THOLEIITE,50.81,0.84,14.3,11.5,12.17,6.98,0.19,0.21,1.62,0.1
THOLEIITE,51.43,0.73,14.78,11.27,11.29,7.54,0.18,0.22,1.25,0.05
THOLEIITE,47.68,2.22,13.14,17.88,9.49,4.38,0.25,0.36,2.48,0.13
THOLEIITE,48.57,1.9,12.52,17.18,8.34,5.36,0.22,0.42,3.46,0.11
THOLEIITE,49.95,1.78,14.78,13.68,7.66,6.33,0.23,0.12,3.82,0.11
BASALT,47.93,0.31,11.49,9.86,15.56,12.32,0.26,0.49,0.57,0.09
ANDESITE,55.69,0.71,13.77,8.44,12.14,4.48,0.18,2.02,1.48,0.14
ANDESITE,58.77,1.15,11.95,15.04,5.74,1.8,0.26,0.43,2.91,0.28
RHYOLITE,74.93,0.21,14.52,1.49,1.27,0.56,0.03,1.46,5.32,0.02
RHYOLITE,71.85,0.48,16.19,2.28,1.99,0.7,0.0,1.42,4.71,0.12
BASALT,49.3,0.62,14.84,10.76,10.51,10.31,0.2,0.29,1.97,0.04
BASALT,48.0,0.65,15.85,11.78,9.77,10.09,0.18,0.11,2.24,0.05
BASALT,48.9,0.69,15.46,11.52,11.16,8.36,0.19,0.18,2.16,0.05
BASALT,47.3,0.62,15.5,10.65,17.28,6.33,0.23,0.09,0.71,0.04
BASALT,47.1,0.89,15.69,13.48,10.39,7.38,0.23,0.4,2.89,0.07
BASALT,49.8,1.22,13.71,15.1,9.35,6.2,0.24,0.1,2.48,0.08
BASALT,49.4,0.71,16.38,10.5,10.17,8.84,0.13,2.6,0.08,0.05
BASALT,51.9,0.64,16.22,8.91,12.14,6.83,0.17,2.01,0.11,0.05
BASALT,49.8,0.59,14.8,11.18,12.12,7.77,0.21,2.03,0.17,0.04
BASALT,47.3,0.87,16.78,12.52,9.83,8.19,0.19,2.73,0.16,0.07
BASALT,50.7,1.01,14.49,13.79,11.88,5.1,0.22,1.27,0.01,0.07
BASALT,52.7,1.83,13.1,14.67,7.8,3.9,0.32,3.8,0.2,0.16
BASALT,50.5,1.02,15.23,11.92,12.14,4.21,0.31,0.47,2.8,0.11
BASALT,49.5,0.83,15.5,13.21,11.5,4.51,0.39,0.93,2.09,0.08
BASALT,55.6,0.93,15.47,9.68,8.02,5.8,0.27,3.08,0.01,0.07
BASALT,54.2,1.29,14.79,11.25,6.49,6.13,0.17,2.78,1.6,0.08
BASALT,53.1,1.32,15.46,10.26,9.22,4.93,0.21,0.05,4.23,0.1
BASALT,58.3,1.42,13.92,7.76,10.73,3.09,0.17,3.22,0.38,0.13
BASALT,54.4,1.68,15.06,12.34,7.55,4.52,0.2,2.68,0.03,0.11
BASALT,47.5,1.64,11.4,20.61,11.29,2.84,0.59,1.06,0.11,0.7
KOMATIITE,45.8,0.351,7.22,10.53,6.99,26.9,0.17,0.03,0.4,0.01
KOMATIITE,49.3,0.345,7.01,11.34,9.09,22.4,0.224,0.005,0.005,0.043
KOMATIITE,50.8,0.404,6.02,10.8,5.17,26.3,0.183,0.005,0.005,0.032
KOMATIITE,52.1,0.395,4.68,8.77,4.07,28.5,0.142,0.011,0.12,0.033
BASALT,51.1,0.569,8.68,11.52,8.72,17.2,0.232,0.021,1.53,0.042
BASALT,52.2,0.558,9.38,9.99,11.4,13.0,0.224,0.032,2.83,0.043
BASALT,54.3,0.987,15.4,8.78,8.8,5.2,0.216,0.852,3.28,0.097
BASALT,56.7,1.35,14.7,9.27,7.14,5.62,0.26,0.166,4.33,0.135
BASALT,53.6,0.646,16.3,12.33,7.92,5.97,0.304,0.042,2.5,0.063
KOMATIITE,46.0,0.343,6.25,10.53,6.31,29.5,0.175,0.109,0.372,0.033
KOMATIITE,47.0,0.4,7.52,10.17,7.8,26.2,0.196,0.044,0.326,0.033
KOMATIITE,46.7,0.423,8.0,11.43,8.43,23.7,0.197,0.154,0.417,0.033
KOMATIITE,46.4,0.48,9.62,11.7,12.0,18.6,0.241,0.105,0.567,0.042
KOMATIITE,46.7,0.444,8.49,10.89,8.99,23.6,0.214,0.043,0.289,0.043
KOMATIITE,44.9,0.262,4.43,8.33,3.74,37.6,0.146,0.078,0.157,0.022
KOMATIITE,44.8,0.262,4.31,8.2,3.65,38.0,0.148,0.091,0.16,0.034
KOMATIITE,45.3,0.334,6.27,10.35,6.32,30.6,0.202,0.16,0.234,0.032
KOMATIITE,43.42,0.31,6.34,10.19,6.24,26.21,0.15,0.15,0.52,0.03
KOMATIITE,43.63,0.29,5.91,10.23,5.71,28.66,0.16,0.13,0.38,0.02
KOMATIITE,43.57,0.28,5.69,10.28,5.71,29.99,0.15,0.08,0.6,0.02
KOMATIITE,44.35,0.38,7.78,8.74,6.91,25.24,0.14,0.03,0.41,0.03
KOMATIITE,43.68,0.28,5.68,10.26,5.69,29.87,0.15,0.07,0.57,0.02
KOMATIITE,45.6,0.44,9.52,11.45,10.87,20.67,0.23,0.04,0.55,0.03
BASALT,51.02,0.67,12.2,10.44,8.52,12.2,0.19,0.09,3.39,0.07
BASALT,50.63,0.79,13.22,10.15,10.22,9.8,0.21,0.15,3.54,0.06
BASALT,50.13,0.42,8.39,10.6,13.57,14.71,0.24,0.03,0.31,0.04
BASALT,51.97,0.81,14.29,9.8,8.8,7.95,0.18,0.05,4.61,0.08
BASALT,50.25,0.76,12.67,10.57,9.71,11.29,0.19,0.05,2.97,0.08
BASALT,49.29,0.71,12.19,9.53,11.07,13.01,0.17,0.03,2.6,0.08
BASALT,50.08,0.71,12.01,10.18,8.65,13.59,0.17,0.04,2.8,0.08
BASALT,51.0,0.68,13.16,11.52,10.1,9.85,0.21,0.69,1.37,0.06
BASALT,50.14,0.66,13.09,11.51,10.26,10.44,0.19,0.04,2.05,0.06
BASALT,50.94,0.67,13.15,11.28,10.48,9.45,0.19,0.12,2.15,0.06
BASALT,50.77,0.75,13.94,12.6,9.43,7.28,0.23,0.09,3.56,0.07
BASALT,51.2,0.72,14.03,11.81,9.99,8.57,0.2,0.16,1.83,0.06
BASALT,50.97,0.63,13.26,11.33,9.96,10.27,0.2,0.06,2.01,0.05
BASALT,47.85,0.49,9.83,12.49,8.02,18.47,0.22,0.04,0.69,0.05
BASALT,50.04,0.58,11.78,12.07,9.12,13.25,0.2,0.06,1.16,0.05
BASALT,47.38,0.54,11.04,11.53,11.29,14.99,0.2,0.04,1.31,0.05
BASALT,51.42,0.59,12.15,11.74,9.13,11.27,0.19,0.45,1.53,0.06
KOMATIITE,50.33,0.73,13.35,11.75,10.45,9.18,0.23,0.35,2.46,0.06
KOMATIITE,51.39,0.74,14.19,12.12,8.8,7.5,0.23,0.99,2.72,0.07
KOMATIITE,51.15,0.58,13.87,9.45,11.44,9.07,0.2,0.78,2.45,0.06
THOLEIITE,50.05,1.48,13.32,14.69,7.62,6.44,0.18,0.32,4.1,0.14
